id,tid,votes,total,purity
22066,77532,8956,8959,0.9996651411987945
22013,78224,8665,8667,0.999769239644629
22660,62415,8530,8530,1.0
21696,75847,8412,8412,1.0
23420,76290,8243,8243,1.0
22130,79231,8121,8121,1.0
23476,68050,8020,8020,1.0
22103,79109,7987,7987,1.0
22410,62404,7963,7963,1.0
23471,76313,7841,7841,1.0
23578,68743,7821,7821,1.0
23281,67304,7760,7760,1.0
22127,79215,7731,7732,0.9998706673564408
21992,78513,7519,7520,0.9998670212765958
22102,79192,7412,7412,1.0
22443,62895,7411,7412,0.9998650836481382
22126,79240,7300,7300,1.0
22816,66108,7281,7281,1.0
22133,79402,7224,7224,1.0
21818,76232,7044,7044,1.0
23282,67341,7021,7021,1.0
21660,75334,6998,6998,1.0
23443,75125,6978,6978,1.0
22606,62907,6953,6954,0.9998561978717285
23693,69737,6912,6912,1.0
22779,64166,6846,6846,1.0
21821,76267,6662,6664,0.9996998799519808
22455,78288,6637,6641,0.9993976810721277
23901,50854,6617,6617,1.0
22146,79365,6501,6502,0.9998462011688711
22109,79608,6381,6381,1.0
21627,74540,6297,6297,1.0
21990,78548,6297,6302,0.9992066010790225
22605,62931,6195,6195,1.0
22632,63963,6059,6059,1.0
23113,64868,6013,6013,1.0
22283,61102,6009,6009,1.0
23319,67893,5943,5943,1.0
22727,64004,5913,5913,1.0
22693,64153,5607,5607,1.0
22736,65357,5529,5530,0.9998191681735985
22269,60523,5440,5440,1.0
23687,628336,5407,5407,1.0
21737,75566,5301,5301,1.0
22725,64006,5221,5221,1.0
22500,78168,5209,5209,1.0
22430,62244,5105,5105,1.0
22610,62947,5005,5005,1.0
24144,425783,4956,4956,1.0
23639,69102,4917,4918,0.9997966653111021
21616,74206,4884,4888,0.9991816693944353
23875,50458,4806,4809,0.9993761696818465
23413,592692,4805,4805,1.0
23465,68525,4796,4796,1.0
21834,76802,4721,4721,1.0
24074,517369,4571,4571,1.0
21520,74163,4440,4440,1.0
22468,63123,4438,4438,1.0
21996,78135,4372,4372,1.0
23646,64646,4340,4340,1.0
21286,72443,4319,4319,1.0
22245,60558,4318,4318,1.0
21968,77564,4270,4270,1.0
22182,79456,4255,4255,1.0
24087,51344,4184,4184,1.0
23410,457449,4102,4102,1.0
21398,73113,4019,4019,1.0
22315,61404,3999,3999,1.0
22026,78603,3989,3989,1.0
21837,76849,3912,3912,1.0
22379,62700,3765,3768,0.9992038216560509
23720,69453,3765,3765,1.0
23318,62802,3760,3760,1.0
21170,71837,3737,3737,1.0
22429,62234,3709,3709,1.0
24075,51907,3700,3700,1.0
22768,63704,3652,3652,1.0
23134,66704,3648,3648,1.0
23040,64984,3583,3583,1.0
23348,493193,3375,4575,0.7377049180327869
24272,52415,3366,3366,1.0
21831,76812,3352,3352,1.0
23080,74339,3352,3352,1.0
22739,64504,3275,3275,1.0
22424,62558,3264,3264,1.0
23045,74465,3256,3256,1.0
24354,621573,3224,3224,1.0
22323,61353,3166,3166,1.0
22038,78756,3133,3133,1.0
23464,65586,3108,3108,1.0
23685,69517,3083,3083,1.0
22956,66606,3053,3053,1.0
22671,64300,3053,3053,1.0
23778,69995,2978,2978,1.0
22612,62934,2976,2976,1.0
23433,68119,2946,2946,1.0
22607,62925,2930,2930,1.0
22287,61186,2894,2894,1.0
24212,52591,2884,2884,1.0
22106,79150,2822,2822,1.0
22756,64468,2822,2822,1.0
22732,64007,2787,2787,1.0
23089,66838,2748,2748,1.0
22436,62864,2726,2726,1.0
22522,63257,2691,2691,1.0
23961,571437,2629,2629,1.0
23583,66706,2622,2622,1.0
23197,66928,2587,2587,1.0
24072,51417,2584,2584,1.0
