id,tid,votes,total,purity
23633,543391,10286,10286,1.0
23719,69446,9317,9317,1.0
22759,64021,9287,9287,1.0
23745,518852,8342,8342,1.0
22890,65320,8258,8258,1.0
23782,571035,8058,8058,1.0
23561,67263,7810,7810,1.0
22277,61101,7801,7801,1.0
23767,69940,7793,7793,1.0
22908,65516,7697,7697,1.0
23880,571527,7423,7423,1.0
21955,77829,7346,7346,1.0
21916,77446,7112,7112,1.0
22708,65764,6693,6693,1.0
22249,60263,6590,6590,1.0
22834,66291,6418,6418,1.0
23903,50859,6328,6328,1.0
23593,68902,6199,6199,1.0
23440,68341,6099,6099,1.0
23781,593417,6089,6089,1.0
23987,628333,6000,6000,1.0
22720,64001,5981,5981,1.0
22192,60841,5892,5892,1.0
22389,62363,5890,5890,1.0
23555,68220,5854,5854,1.0
22435,62869,5806,5806,1.0
23897,573185,5542,5542,1.0
23769,69962,5426,5426,1.0
24222,656212,5407,5407,1.0
21936,77318,5258,5258,1.0
22730,65056,5208,5208,1.0
23518,68419,4972,4972,1.0
23988,50030,4770,4770,1.0
22163,79764,4725,4725,1.0
21441,73211,4716,4716,1.0
22782,65769,4685,4685,1.0
21961,77637,4573,4573,1.0
24300,605138,4510,4510,1.0
22231,60768,4417,4417,1.0
22729,65048,4386,4386,1.0
22419,62528,4263,4263,1.0
22735,61895,4219,4219,1.0
21998,78148,4198,4198,1.0
23590,68900,4189,4189,1.0
21940,77211,4128,4128,1.0
23347,67539,4115,4115,1.0
22738,63543,3957,3957,1.0
22743,65062,3878,3878,1.0
23852,50126,3873,3873,1.0
23035,65933,3850,3850,1.0
22293,61643,3850,3850,1.0
22397,62360,3781,3781,1.0
22131,79229,3755,3755,1.0
23694,599683,3697,3697,1.0
23307,67603,3646,3646,1.0
23411,502010,3614,3614,1.0
24410,642558,3608,3608,1.0
23853,50157,3511,3511,1.0
22741,65060,3489,3489,1.0
23672,69539,3456,3456,1.0
23637,69159,3456,3456,1.0
22380,62754,3446,3446,1.0
21690,75867,3401,3401,1.0
24305,570240,3397,3397,1.0
21789,76430,3331,3331,1.0
24053,521655,3266,3266,1.0
22668,64565,3232,3232,1.0
