08-25 12:22:46 exp/67_train_mc04 cpu_total=24.5min delta_5min=24.5min ram=5.22GB
08-25 12:27:49 exp/67_train_mc04 cpu_total=53.6min delta_5min=29.2min ram=4.03GB
08-25 12:32:50 exp/67_train_mc04 cpu_total=81.4min delta_5min=27.7min ram=4.30GB
08-25 12:37:50 exp/67_train_mc04 cpu_total=109.9min delta_5min=28.5min ram=3.79GB
08-25 12:42:51 exp/67_train_mc04 cpu_total=137.7min delta_5min=27.8min ram=2.88GB
08-25 12:47:52 exp/67_train_mc04 cpu_total=165.5min delta_5min=27.7min ram=3.28GB
08-25 12:52:52 exp/67_train_mc04 cpu_total=193.8min delta_5min=28.3min ram=2.13GB
08-25 12:57:52 exp/67_train_mc04 cpu_total=222.4min delta_5min=28.6min ram=3.83GB
08-27 23:20:01 exp/89_cat5_val cpu_total=22.6min delta_5min=22.6min ram=2.42GB
08-27 23:25:03 exp/89_cat5_val cpu_total=58.1min delta_5min=35.5min ram=2.43GB
08-27 23:30:06 exp/89_cat5_val cpu_total=92.6min delta_5min=34.5min ram=2.61GB
08-27 23:35:06 exp/89_cat5_val cpu_total=127.8min delta_5min=35.2min ram=3.25GB
08-27 23:40:08 exp/89_cat5_val cpu_total=164.8min delta_5min=37.0min ram=2.91GB
08-27 23:45:09 exp/89_cat5_val cpu_total=201.8min delta_5min=37.0min ram=2.39GB
08-27 23:50:10 exp/89_cat5_val cpu_total=236.9min delta_5min=35.1min ram=2.86GB
08-27 23:55:16 exp/89_cat5_val cpu_total=272.5min delta_5min=35.6min ram=2.60GB
08-28 00:00:17 exp/89_cat5_val cpu_total=308.1min delta_5min=35.6min ram=1.99GB
08-28 00:05:17 exp/89_cat5_val cpu_total=345.0min delta_5min=36.9min ram=2.87GB
08-28 00:10:18 exp/89_cat5_val cpu_total=381.9min delta_5min=36.9min ram=3.01GB
08-28 00:15:19 exp/89_cat5_val cpu_total=417.3min delta_5min=35.4min ram=3.10GB
08-28 00:20:20 exp/89_cat5_val cpu_total=451.8min delta_5min=34.5min ram=2.84GB
08-28 00:25:22 exp/89_cat5_val cpu_total=488.5min delta_5min=36.7min ram=2.01GB
08-28 00:30:24 exp/89_cat5_val cpu_total=525.8min delta_5min=37.3min ram=2.38GB
08-28 00:35:24 exp/89_cat5_val cpu_total=563.1min delta_5min=37.3min ram=2.02GB
08-28 00:40:25 exp/89_cat5_val cpu_total=597.7min delta_5min=34.6min ram=2.19GB
08-28 00:45:26 exp/89_cat5_val cpu_total=631.9min delta_5min=34.3min ram=2.47GB
08-28 00:50:27 exp/89_cat5_val cpu_total=666.7min delta_5min=34.8min ram=2.45GB
08-28 04:57:10 exp/91b arm=B cpu_total=23.0min delta_5min=23.0min ram=4.64GB
08-28 05:02:13 exp/91b arm=B cpu_total=57.8min delta_5min=34.8min ram=4.10GB
08-28 05:07:14 exp/91b arm=B cpu_total=85.7min delta_5min=27.9min ram=4.66GB
08-28 05:12:15 exp/91b arm=B cpu_total=116.1min delta_5min=30.4min ram=4.36GB
08-28 05:17:17 exp/91b arm=B cpu_total=148.7min delta_5min=32.6min ram=3.99GB
08-28 05:22:17 exp/91b arm=B cpu_total=184.5min delta_5min=35.8min ram=4.20GB
08-28 05:27:18 exp/91b arm=B cpu_total=221.0min delta_5min=36.5min ram=3.40GB
08-28 05:32:20 exp/91b arm=B cpu_total=257.8min delta_5min=36.8min ram=3.43GB
08-28 05:37:21 exp/91b arm=B cpu_total=293.5min delta_5min=35.7min ram=2.53GB
08-28 05:42:23 exp/91b arm=B cpu_total=329.3min delta_5min=35.8min ram=2.87GB
08-28 05:47:25 exp/91b arm=B cpu_total=365.3min delta_5min=35.9min ram=3.71GB
08-28 05:52:26 exp/91b arm=B cpu_total=400.8min delta_5min=35.5min ram=3.27GB
08-28 05:57:27 exp/91b arm=B cpu_total=436.6min delta_5min=35.8min ram=4.10GB
08-28 06:02:28 exp/91b arm=B cpu_total=472.3min delta_5min=35.7min ram=3.12GB
08-28 06:07:29 exp/91b arm=B cpu_total=508.4min delta_5min=36.1min ram=2.72GB
08-28 06:12:32 exp/91b arm=B cpu_total=544.3min delta_5min=35.9min ram=3.51GB
08-28 06:17:35 exp/91b arm=B cpu_total=579.7min delta_5min=35.5min ram=4.01GB
08-28 06:22:36 exp/91b arm=B cpu_total=615.1min delta_5min=35.4min ram=3.70GB
08-28 06:32:45 exp/91b arm=D cpu_total=27.0min delta_5min=27.0min ram=3.07GB
08-28 06:37:47 exp/91b arm=D cpu_total=62.5min delta_5min=35.5min ram=2.33GB
08-28 06:42:47 exp/91b arm=D cpu_total=97.5min delta_5min=35.0min ram=2.26GB
08-28 06:47:48 exp/91b arm=D cpu_total=132.2min delta_5min=34.7min ram=3.12GB
08-28 06:52:49 exp/91b arm=D cpu_total=167.8min delta_5min=35.6min ram=2.50GB
08-28 06:57:49 exp/91b arm=D cpu_total=203.6min delta_5min=35.8min ram=2.48GB
08-28 07:02:50 exp/91b arm=D cpu_total=239.4min delta_5min=35.7min ram=2.67GB
08-28 07:07:50 exp/91b arm=D cpu_total=275.4min delta_5min=36.0min ram=2.74GB
08-28 07:12:51 exp/91b arm=D cpu_total=315.0min delta_5min=39.6min ram=2.93GB
